NÂº,#,TID,EPC,,,(kHz),(0Â°-180Â°),
1,3,E2801100200055464D3C0239,4E201981DAB4000000000000,-54,11,923250,42,Gen2
2,3,E200680B00004006A06180750000000000000000000000000000,E200680B0000000000000000,-59,11,923250,143,Gen2
3,3,E200680B000040069F34E4A20000000000000000000000000000,E200680B0000000000000000,-56,11,923250,64,Gen2
4,3,E200680B00004006A1A19C450000000000000000000000000000,E200680B0000000000000000,-52,11,923250,42,Gen2
5,3,E200680B00004006A19284840000000000000000000000000000,E200680B0000000000000000,-51,11,923250,61,Gen2
6,2,E2003412013BFE00025AEA6E2703013530055FFBFFFFDC50,E2003098410B02340410EA6E,-51,11,923250,146,Gen2
7,1,E2003412013BFE00025AEA6E2703013630055FFBFFFFDC50,E2003098410B02340410EA6E,-55,11,923250,30,Gen2
8,3,E2003412012D03000E8831A91206012B300D5FFBFFFFDC60,AA0004EF55555555AA0190F7,-53,11,923250,45,Gen2
9,2,E200680B00004006A1B320F90000000000000000000000000000,E200680B0000000000000000,-51,11,923250,135,Gen2
10,1,E2003412012D03000E8831A91206012B700D5FFBFFFFDC60,AA0004EF55555555AA0190F7,-48,11,923250,33,Gen2
11,2,E200680B000040069F2320C70000000000000000000000000000,E200680B0000000000000000,-54,11,923250,151,Gen2
12,1,E20034120130FD000D21A4D10113012D300D5FFBFFFFDC50,8A4B0001555555558A4B06D8,-51,11,923250,33,Gen2
13,1,E20034120130FD000D21A4D10113012E300D5FFBFFFFDC50,8A4B0001555555558A4B06D8,-55,11,923250,143,Gen2
14,1,E20034120130FD000D21A4D101130128000D5FFBFFFFDC50,8A4B0001555555558A4B06D8,-60,11,923250,19,Gen2
15,1,E2003412017CC2FFEEFDC79A140F016F100D5FFBFFFFDC70,E2000019161301652040462E,-59,11,923250,78,Gen2
16,1,E2003412017CC2FFEEFDC79A140F0170300D5FFBFFFFDC70,E2000019161301652040462E,-58,11,923250,39,Gen2
